t0,m0,mw,x,y,z,area,dt
672106363853.3545,1.5250329314584292e+22,8.722186,1911070.376464,7228180.37439,-17027.027027,56336238401.72318,285.6798095703125
673044200152.1536,2.638535661080932e+20,7.547575,306823.583294,4996984.35315,-12600.0,1512881487.887769,48.4759521484375
673116245851.1074,1.5014939909326297e+20,7.384349,663570.511192,5289620.973109,-3000.0,1459176196.551932,30.4034423828125
673171014748.9712,1.3369347192626389e+20,7.35074,1024496.995394,5636551.811094,-7071.428571,806118666.843007,22.7364501953125
673336200017.3228,3.992798023225144e+19,7.000852,163053.892591,4983762.344189,-6208.733493,712035262.534559,24.902587890625
673757060637.87,1.62406662314358e+20,7.407069,174793.744545,4994100.568625,-15263.299663,1860778468.003606,34.6778564453125
674064001432.9933,1.562475514830108e+20,7.395875,940530.773594,5569308.732436,-13000.0,1566136607.333889,42.3065185546875
674252094349.4883,4.855790275568955e+19,7.057507,649098.194437,5316086.011359,-13000.0,559452410.794423,18.4730224609375
674546949628.6218,7.2559899063619396e+19,7.173798,91145.035114,4900637.927001,-7609.460458,866730873.898412,30.492919921875
674796402308.631,9.050300888799802e+19,7.237775,710072.44161,5332279.569053,-12600.0,909267846.81094,15.3017578125
674819872503.6177,6.215217794217845e+19,7.128971,746317.11784,5354372.105999,-10800.0,579408941.828348,18.8175048828125
674947965520.4065,6.672582944672498e+19,7.149529,1034916.621517,5919391.418318,-6750.0,946694692.263931,27.8082275390625
675219045898.2094,4.835163635633886e+19,7.056274,649179.006322,5215999.904002,-10384.615385,548293959.929975,23.6981201171875
675240746424.4207,2.5725721926541283e+20,7.540245,1903394.003781,7239504.159886,-19459.459459,3010843862.091581,42.603515625
675472858647.0527,4.6725850404351844e+19,7.046371,1010440.036356,5676643.925087,-10000.0,564898226.9064,20.09326171875
675722996864.2013,5.6343330661015314e+19,7.100562,59997.735776,4789893.913042,-6300.0,696980082.127583,22.794189453125
675783882988.8202,5.595838037872946e+19,7.098577,966395.361067,5754491.227184,-9900.0,591941903.645139,19.732666015625
675969752156.9089,3.57814042913701e+20,7.635772,313192.062738,5113596.686485,-13000.0,2868502285.290827,62.98974609375
676133587663.9263,4.253166413648786e+19,7.019142,999247.042355,5572135.459633,-12857.142857,467165570.888258,14.846435546875
676218470907.8838,2.7288020511203875e+20,7.557315,634217.284514,5287004.171402,-6300.0,2447868486.517501,68.95556640625
676790977709.2843,6.649466763912662e+19,7.148525,850739.466733,5442566.7438,-3600.0,711885011.014464,21.666748046875
677146484818.883,1.0204934206036093e+20,7.27254,1047134.462049,5544474.545717,-7714.285714,1122757556.470424,23.7734375
677223856394.3759,4.381624424575624e+19,7.027757,136809.147476,4947112.273115,-9257.142857,541985255.15987,23.2838134765625
677275076806.8398,6.773170620659678e+19,7.153861,1610731.533167,6380158.400567,-7135.135135,950027904.580146,19.3231201171875
677482394335.1144,4.164168576234798e+19,7.013019,793304.295641,5347035.542034,-5142.857143,548594227.091729,19.4755859375
677603659789.8157,8.763864963623272e+22,9.228464,1170447.393772,5771508.459735,-7714.285714,215993129151.91232,925.0989990234375
677603695402.6671,4.7970051316873585e+19,7.05398,1035896.067374,5875504.556897,-12750.0,452791495.551967,10.670654296875
677680515913.651,1.2371625622580021e+20,7.328285,810647.602325,5379229.048205,-10848.569622,1288351953.829476,38.62890625
677766798686.0308,1.3886932423343614e+20,7.361738,985476.115219,5538043.21248,-12857.142857,1065065087.712664,32.034423828125
677775345165.8218,3.1409872749725254e+20,7.598044,154058.672583,4964926.007688,-13698.763037,3481791032.595123,46.64892578125
677801213999.4541,6.779224332069953e+20,7.820787,326808.232245,5114076.291149,-11250.0,5546445289.018213,133.3115234375
677918302764.2787,4.930096706837826e+19,7.061904,1049321.39615,5785116.330279,-4500.0,592993287.870747,19.5843505859375
678428168876.6638,3.1568305420567996e+20,7.599501,17750.169453,4596076.877772,-19200.0,3547388338.33834,54.418212890625
678639008822.2688,4.805449398603107e+19,7.054489,780882.341752,5317022.641246,-10384.615385,570218295.927825,22.9052734375
678743005235.8076,1.057872901193068e+20,7.282956,586632.516156,5285727.960735,-12600.0,978873423.05399,19.4649658203125
678991661683.9083,2.2277708127534976e+21,8.165247,806987.173379,5399062.167993,-18486.486486,11607349188.485392,80.4595947265625
679733542558.5513,6.161886321529989e+19,7.126476,990744.834257,5671763.639956,-4500.0,730805203.838794,16.151123046875
680532936220.5609,1.0942911832974411e+20,7.292755,798082.289315,5392118.562961,-11700.0,1287625904.727857,28.8836669921875
680584988230.1335,8.61603599241096e+19,7.223538,95911.832523,4906432.229842,-3804.878049,891425587.472845,25.4669189453125
680584989276.9435,6.371710610603749e+19,7.136171,117048.714651,4933343.200282,-10736.842105,1307806277.793573,42.789794921875
